稅則號	合併品名清單
8466.94.00.00-8	METAL PARTS;METAL TUBE;METALPARTS;塑料製品;鑰匙
8470.29.00.00-2	計算機
8470.30.00.00-9	計算器
8471.60.30.90-6	鍵盤
8471.90.40.00-7	打卡機
8473.21.00.00-7	ELEC.PARTS;PC PARTS;電腦配件
8473.30.00.00-6	PC PARTS;PCPARTS;U盤;印表機配件;滑鼠;碳粉;電腦散熱器;電腦機箱;面板;顯示器
8473.40.20.00-0	列印機配件;影印機零件
8479.90.90.00-8	除濕器配件
8479.90.90.99-0	除濕器配件
8480.20.00.00-9	模具
8481.20.00.00-8	閥配件
8481.30.00.00-6	閥配件
8481.90.10.00-1	塑膠條
8482.50.90.00-1	軸承
8501.10.90.00-7	馬達配件
8504.31.00.00-8	ADAPTOR;變壓器;轉換器
8504.40.20.00-3	充電器
8504.40.91.00-7	電源零件;風扇配件
8504.50.19.00-3	電感
8504.50.90.00-5	感應器
8505.90.70.00-0	扣子
8510.30.00.00-1	除毛髮用具
8512.90.40.00-8	清潔刮刀
8513.10.10.00-0	手電筒
8516.90.20.00-8	散熱器配件
8517.79.00.00-6	話機配件
8518.90.90.00-1	SPEAKER PARTS;SPEAKERPARTS;耳機配件;電話機配件;音箱配件;音響配件;麥克風配件
8523.49.00.29-2	CD DISK;CDDISK;光碟
8529.10.19.90-4	天線
8529.90.90.00-8	汽車配件
8531.10.10.00-8	防盜器
8531.80.20.00-1	蜂鳴器
8531.90.90.00-4	塑膠製品
8533.40.00.00-2	電位器;電阻
8534.00.00.90-0	PVC BOARD
8536.50.50.00-5	開關配件
8536.50.60.00-3	開關配件
8536.69.10.00-3	CABLE;插頭;數據線;線材;連接線
8536.90.20.00-4	接頭;插座;轉接器;轉接頭;連接器
8538.90.10.00-4	斷路器
8540.20.00.00-7	轉換器
8541.41.00.90-2	顯示屏
8542.31.00.00-2	計時器
8543.70.99.20-1	遙控器
8708.80.10.00-0	減震器;避震器
8708.93.00.00-7	機車配件;汽車配件;汽車零件
8714.10.90.00-0	摩托車配件
8714.91.20.00-7	窗簾軌道;腳踏車組件;自行車;自行車車架組件;自行車配件;護欄
8714.99.90.16-6	手柄;把手
9002.90.39.00-6	鏡頭
9003.90.00.00-0	泳鏡
9004.10.00.90-7	太陽眼鏡
9004.90.19.10-6	護目鏡
9004.90.90.90-1	太陽眼鏡
9005.10.00.90-6	望遠鏡
9006.59.90.00-7	相機;相機配件;記錄器
9006.91.00.00-6	架子;相機配件
9011.80.00.00-2	顯微鏡
9013.80.20.00-6	放大器;放大鏡
9014.10.00.00-4	指南針
9015.80.90.00-9	尺;水平儀
9025.19.90.90-4	溫度計
9026.80.90.00-6	測試儀器配件
9026.90.00.00-3	測試儀器配件;測量儀器配件
9030.33.20.00-3	五金工具
9032.89.90.00-9	控制器;開關組件
9101.19.90.00-0	手錶
9105.11.00.00-3	鬧鐘
9105.19.00.00-5	鬧鐘
9105.21.00.00-1	掛鐘;時鐘
9113.90.10.00-5	錶帶
9202.90.90.00-0	樂器;樂器配件
9207.10.10.00-9	電子琴
9209.99.20.00-9	節拍器
9402.10.92.00-3	椅子配件
9402.90.91.00-7	家具零件
9403.99.00.00-7	傢俱配件;傢俱零件配件;家具配件;家具零件;家具零件配件;桌子配件;桌腳;櫃子配件;茶几配件
9405.99.00.00-5	lamp parts;燈具配件;燈具零件;燈組件;燈配件;燈零件;燈飾配件
9503.00.99.00-6	塑膠製品
9504.20.00.00-9	GLOVE;塑膠桿
9506.59.00.10-9	羽毛球
9506.62.20.00-2	籃球
9507.10.00.00-8	釣魚用品
9507.20.00.00-6	釣魚用具;魚鉤
9507.30.00.00-4	釣魚線軸
9507.90.00.00-1	釣具
9603.21.00.00-8	牙刷
9603.29.00.00-0	刷具;刷子;小刷子;短外套
9603.30.10.00-5	毛筆
9603.90.90.00-5	塑膠掃把;打掃器具;拖把;掃把;掃把套裝;清潔滾
9606.29.00.00-7	鈕扣
9607.19.90.00-9	拉鍊
9608.10.00.00-6	中性筆;原子筆
9608.30.90.00-3	水彩筆
9608.60.00.00-5	筆;筆芯
9609.10.00.00-5	蠟筆;鉛筆
9611.00.10.00-1	印章
9615.11.00.00-6	梳子
9615.90.00.00-0	美髮工具;髮圈;髮夾;髮用具;髮用品;髮飾;髮飾品
9616.10.00.00-6	噴瓶;噴霧器;噴霧瓶
9616.20.00.00-4	粉撲
9617.00.00.00-7	保溫杯
9619.00.11.00-2	尿墊;尿布;紙尿褲
9701.91.00.00-4	畫;裝飾畫
9899.00.00.00-6	舊衣物
